gene,transition,exp_cell,ref_mean,ref_std,exp_expr,v
AADAC,scEmbryo_sc1C2C,2cell_embryo1_1_split1,36.03846153846154,16.93630601809207,15.0,-1.2422107581185282
AADAC,scEmbryo_sc1C2C,2cell_embryo1_1_split2,36.03846153846154,16.93630601809207,8.0,-1.6555240268161007
AADAC,scEmbryo_sc1C2C,2cell_embryo1_2_split1,36.03846153846154,16.93630601809207,1.0,-2.068837295513673
AADAC,scEmbryo_sc1C2C,2cell_embryo1_2_split2,36.03846153846154,16.93630601809207,18.0,-1.0650765001052829
AADAC,scEmbryo_sc1C2C,2cell_embryo2_1_split1,36.03846153846154,16.93630601809207,13.0,-1.3603002634606918
AADAC,scEmbryo_sc1C2C,2cell_embryo2_1_split2,36.03846153846154,16.93630601809207,2.0,-2.0097925428425913
AADAC,scEmbryo_sc1C2C,2cell_embryo2_2_split1,36.03846153846154,16.93630601809207,2.0,-2.0097925428425913
AADAC,scEmbryo_sc1C2C,2cell_embryo2_2_split2,36.03846153846154,16.93630601809207,11.0,-1.4783897688028553
AADAC,scEmbryo_sc1C2C,2cell_embryo3_1_split1,36.03846153846154,16.93630601809207,12.0,-1.4193450161317736
AADAC,scEmbryo_sc1C2C,2cell_embryo3_1_split2,36.03846153846154,16.93630601809207,7.0,-1.7145687794871824
AADAC,scEmbryo_sc1C2C,2cell_embryo3_2_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo3_2_split2,36.03846153846154,16.93630601809207,7.0,-1.7145687794871824
AADAC,scEmbryo_sc1C2C,2cell_embryo4_1_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo4_1_split2,36.03846153846154,16.93630601809207,3.0,-1.9507477901715096
AADAC,scEmbryo_sc1C2C,2cell_embryo4_2_split1,36.03846153846154,16.93630601809207,9.0,-1.596479274145019
AADAC,scEmbryo_sc1C2C,2cell_embryo4_2_split2,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo5_1_split1,36.03846153846154,16.93630601809207,1.0,-2.068837295513673
AADAC,scEmbryo_sc1C2C,2cell_embryo5_1_split2,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo5_2_split1,36.03846153846154,16.93630601809207,5.0,-1.832658284829346
AADAC,scEmbryo_sc1C2C,2cell_embryo5_2_split2,36.03846153846154,16.93630601809207,23.0,-0.769852736749874
AADAC,scEmbryo_sc1C2C,2cell_embryo6_1_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo6_1_split2,36.03846153846154,16.93630601809207,1.0,-2.068837295513673
AADAC,scEmbryo_sc1C2C,2cell_embryo6_2_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo6_2_split2,36.03846153846154,16.93630601809207,6.0,-1.7736135321582642
AADAC,scEmbryo_sc1C2C,2cell_embryo7_1_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo7_1_split2,36.03846153846154,16.93630601809207,8.0,-1.6555240268161007
AADAC,scEmbryo_sc1C2C,2cell_embryo7_2_split1,36.03846153846154,16.93630601809207,1.0,-2.068837295513673
AADAC,scEmbryo_sc1C2C,2cell_embryo7_2_split2,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo8_1_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo8_1_split2,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo8_2_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo8_2_split2,36.03846153846154,16.93630601809207,5.0,-1.832658284829346
AADAC,scEmbryo_sc1C2C,2cell_embryo9_1_split1,36.03846153846154,16.93630601809207,2.0,-2.0097925428425913
AADAC,scEmbryo_sc1C2C,2cell_embryo9_1_split2,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo9_2_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo9_2_split2,36.03846153846154,16.93630601809207,1.0,-2.068837295513673
AADAC,scEmbryo_sc1C2C,2cell_embryo10_1_split1,36.03846153846154,16.93630601809207,4.0,-1.8917030375004278
AADAC,scEmbryo_sc1C2C,2cell_embryo10_1_split2,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo10_2_split1,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo10_2_split2,36.03846153846154,16.93630601809207,3.0,-1.9507477901715096
AADAC,scEmbryo_sc1C2C,2cell_embryo11_1_split1,36.03846153846154,16.93630601809207,3.0,-1.9507477901715096
AADAC,scEmbryo_sc1C2C,2cell_embryo11_1_split2,36.03846153846154,16.93630601809207,3.0,-1.9507477901715096
AADAC,scEmbryo_sc1C2C,2cell_embryo11_2_split1,36.03846153846154,16.93630601809207,5.0,-1.832658284829346
AADAC,scEmbryo_sc1C2C,2cell_embryo11_2_split2,36.03846153846154,16.93630601809207,0.0,nan
AADAC,scEmbryo_sc1C2C,2cell_embryo12_1_split1,36.03846153846154,16.93630601809207,5.0,-1.832658284829346
AADAC,scEmbryo_sc1C2C,2cell_embryo12_1_split2,36.03846153846154,16.93630601809207,9.0,-1.596479274145019
AADAC,scEmbryo_sc1C2C,2cell_embryo12_2_split1,36.03846153846154,16.93630601809207,8.0,-1.6555240268161007
AADAC,scEmbryo_sc1C2C,2cell_embryo12_2_split2,36.03846153846154,16.93630601809207,2.0,-2.0097925428425913
AADAC,scEmbryo_sc2CBC,32cell_embryo1_1_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_1_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_2_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_2_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_3_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_3_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_4_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_4_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_5_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_5_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_6_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_6_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_7_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_7_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_8_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo1_8_split2,4.229166666666667,5.288444179905053,1.0,-0.6106080648325275
AADAC,scEmbryo_sc2CBC,32cell_embryo2_1_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_1_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_4_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_4_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_5_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_5_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_7_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_7_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_8_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_8_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_9_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_9_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_10_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo2_10_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo3_2_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo3_4_split1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo3_4_split2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo4_1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo4_2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo4_3,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo4_4,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo4_5,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo5_3,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo5_4,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo5_5,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo6_1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo6_2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo6_3,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo6_4,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo6_5,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo6_6,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo6_7,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryo6_8,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_1,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_2,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_3,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_4,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_5,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_6,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_7,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_8,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_9,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_10,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_11,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_12,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_13,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_14,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_15,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_16,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_17,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_18,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_19,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_20,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_21,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_22,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_23,4.229166666666667,5.288444179905053,0.0,nan
AADAC,scEmbryo_sc2CBC,32cell_embryoMixed_24,4.229166666666667,5.288444179905053,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo1_1_split1,3.076923076923077,3.0189147311320594,2.0,-0.3567252383174277
AADAT,scEmbryo_sc1C2C,2cell_embryo1_1_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo1_2_split1,3.076923076923077,3.0189147311320594,2.0,-0.3567252383174277
AADAT,scEmbryo_sc1C2C,2cell_embryo1_2_split2,3.076923076923077,3.0189147311320594,2.0,-0.3567252383174277
AADAT,scEmbryo_sc1C2C,2cell_embryo2_1_split1,3.076923076923077,3.0189147311320594,10.0,2.293233674897749
AADAT,scEmbryo_sc1C2C,2cell_embryo2_1_split2,3.076923076923077,3.0189147311320594,1.0,-0.6879701024693248
AADAT,scEmbryo_sc1C2C,2cell_embryo2_2_split1,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo2_2_split2,3.076923076923077,3.0189147311320594,6.0,0.9682542182901607
AADAT,scEmbryo_sc1C2C,2cell_embryo3_1_split1,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo3_1_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo3_2_split1,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo3_2_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo4_1_split1,3.076923076923077,3.0189147311320594,1.0,-0.6879701024693248
AADAT,scEmbryo_sc1C2C,2cell_embryo4_1_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo4_2_split1,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo4_2_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo5_1_split1,3.076923076923077,3.0189147311320594,4.0,0.3057644899863665
AADAT,scEmbryo_sc1C2C,2cell_embryo5_1_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo5_2_split1,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo5_2_split2,3.076923076923077,3.0189147311320594,4.0,0.3057644899863665
AADAT,scEmbryo_sc1C2C,2cell_embryo6_1_split1,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo6_1_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo6_2_split1,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo6_2_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo7_1_split1,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo7_1_split2,3.076923076923077,3.0189147311320594,1.0,-0.6879701024693248
AADAT,scEmbryo_sc1C2C,2cell_embryo7_2_split1,3.076923076923077,3.0189147311320594,7.0,1.2994990824420578
AADAT,scEmbryo_sc1C2C,2cell_embryo7_2_split2,3.076923076923077,3.0189147311320594,0.0,nan
AADAT,scEmbryo_sc1C2C,2cell_embryo8_1_split1,3.076923076923077,3.0189147311320594,1.0,-0.6879701024693248
AADAT,scEmbryo_sc1C2C,2cell_embryo8_1_split2,3.076923076923077,3.0189147311320594,4.0,0.3057644899863665
